time,X_value,Y_value,Z_value
6.1739,0.3567,0.17595,0.50969
6.2151,0.39079,0.17595,0.45003
6.2545,0.45044,0.1834,0.52673
6.2968,0.5069,0.21004,0.58958
6.3355,0.40677,0.14825,0.48839
6.3765,0.33539,0.10457,0.47879
6.4176,0.42168,0.12801,0.53099
6.4597,0.40677,0.12161,0.4969
6.4974,0.4057,0.08327,0.52034
6.5381,0.42274,0.08752,0.50862
6.583,0.3535,0.05876,0.50011
6.6201,0.35457,0.04065,0.52567
6.6594,0.41849,0.05557,0.49904
6.7077,0.39291,0.06409,0.42126
6.7398,0.34285,0.04599,0.3808
6.7811,0.36415,0.04918,0.3808
6.8235,0.38226,0.00444,0.40422
6.8615,0.32687,-0.00835,0.38612
6.9025,0.3322,0.02148,0.37759
6.9429,0.33327,0.02361,0.35416
6.9862,0.3045,0.00337,0.29344
7.0239,0.37268,0.09073,0.33604
7.0644,0.44937,0.03107,0.41275
7.1071,0.41956,-0.03497,0.31367
7.1455,0.32687,-0.03285,0.26254
7.1854,0.30769,0.03746,0.28598
7.2273,0.32262,0.01402,0.24017
7.2681,0.34499,-0.00941,0.29451
7.3068,0.37587,0.10777,0.32753
7.3479,0.42593,0.06622,0.3009
7.3896,0.4334,0.04279,0.2487
7.4301,0.38013,0.03853,0.21568
7.4693,0.3322,0.00551,0.17625
7.51,0.33327,0.01935,0.19118
7.5512,0.33966,0.03427,0.3222
7.5902,0.33966,0.03853,0.36908
7.6315,0.34285,0.02361,0.34883
7.6732,0.33006,0.08966,0.41061
7.7134,0.31195,0.12907,0.39357
7.752,0.35564,0.09073,0.44365
7.7938,0.40038,0.06836,0.48518
7.8356,0.36736,0.02255,0.43726
7.8734,0.41742,0.0545,0.45216
7.9149,0.37801,0.07901,0.40956
7.9557,0.29811,0.0854,0.34457
7.9998,0.32367,0.14505,0.39996
8.0356,0.37801,0.11949,0.48839
8.0763,0.41103,0.04385,0.47028
8.1181,0.34499,0.02361,0.4234
8.1564,0.32474,0.01295,0.42766
8.1974,0.4334,0.07794,0.46175
8.2398,0.3748,0.0822,0.42021
8.2785,0.33434,0.03746,0.42554
8.3189,0.46216,0.04279,0.48199
8.3609,0.46216,0.07687,0.47134
8.4003,0.42807,0.04599,0.44365
8.4415,0.44937,0.12694,0.38612
8.4811,0.36629,0.13654,0.36269
8.5235,0.48241,0.13333,0.49797
8.5623,0.5836,0.08327,0.52567
8.6026,0.50264,0.05983,0.46921
8.6436,0.45258,0.12375,0.41489
8.6843,0.38759,0.1344,0.3499
8.724,0.39931,0.13654,0.4724
8.7648,0.47069,0.05557,0.54591
8.8063,0.40356,0.03,0.41275
8.8453,0.35031,0.02574,0.37334
8.8858,0.46323,0.0545,0.42766
8.9267,0.50478,0.04704,0.41594
8.9675,0.46109,0.0396,0.46175
9.0073,0.49625,0.07794,0.51076
9.0478,0.50797,0.08434,0.56082
9.0919,0.42381,0.07687,0.51501
9.1293,0.33966,0.08008,0.4543
9.1693,0.39717,0.14612,0.53313
9.2104,0.43233,0.17274,0.50011
9.2498,0.40677,0.15144,0.45856
9.2903,0.43021,0.19406,0.49051
9.3309,0.4057,0.13014,0.44365
9.3756,0.32155,0.07581,0.35736
9.413,0.29385,0.11096,0.39784
9.4528,0.22035,0.0822,0.33711
9.4953,0.16602,0.07687,0.34244
9.5386,0.2374,0.12375,0.43831
9.5748,0.24059,0.05769,0.39038
9.6155,0.21501,0.04279,0.38506
9.657,0.24165,0.07155,0.34351
9.6958,0.21501,0.03107,0.29237
9.7369,0.21715,0.02895,0.2977
9.7779,0.22673,0.01083,0.26894
9.817,0.21289,0.0119,0.24124
9.8574,0.19691,0.00444,0.22952
9.8982,0.22568,0.01509,0.22313
9.9408,0.24272,-0.00621,0.22101
9.9797,0.22141,-0.03925,0.1933
10.0203,0.22673,-0.00621,0.20822
10.0624,0.14471,-0.03711,0.14217
10.1061,0.12553,-0.03925,0.19011
10.1413,0.27254,-0.13405,0.3744
10.1816,0.27361,-0.16388,0.32007
10.2238,0.22141,-0.09996,0.26682
10.2619,0.22887,-0.04883,0.23273
10.3026,0.21822,-0.0648,0.23273
10.3444,0.27042,-0.06587,0.30942
10.3835,0.33859,-0.07227,0.34776
10.4252,0.33646,-0.05841,0.31155
10.4646,0.22568,0.01402,0.26254
10.507,0.1266,0.05025,0.22845
10.5457,0.26295,0.04492,0.30835
10.5859,0.36203,0.07901,0.36269
10.6287,0.3109,0.15251,0.41168
10.6671,0.33646,0.06622,0.36055
10.7074,0.33539,0.07155,0.33711
10.7487,0.32048,0.06622,0.37653
10.7918,0.38759,0.06197,0.37973
10.8297,0.39398,0.04279,0.39996
10.8702,0.37375,0.03639,0.41275
10.9114,0.39505,0.0087,0.44044
10.9504,0.38226,-0.01581,0.42661
10.9911,0.3844,0.0119,0.41914
11.0342,0.42807,-0.01154,0.44897
11.0722,0.44725,0.01083,0.47453
11.1122,0.43765,-0.00728,0.41914
11.1535,0.5005,0.03639,0.47774
11.1955,0.55377,0.09073,0.49478
11.2335,0.50478,0.07262,0.43726
11.2741,0.50797,0.09073,0.46175
11.3177,0.52715,0.07262,0.47346
11.3558,0.51117,0.06197,0.48199
11.3968,0.52501,0.0822,0.46707
11.4366,0.46216,0.12589,0.42021
11.4775,0.46536,0.10564,0.49158
11.5178,0.57828,0.07581,0.61195
11.5585,0.53566,-0.02432,0.57573
11.5993,0.51436,0.01935,0.54164
11.6376,0.51649,0.00018,0.44577
11.6797,0.50903,0.08752,0.4511
11.7198,0.59319,0.11736,0.5555
11.7604,0.63792,0.07794,0.52354
11.8004,0.57507,0.11417,0.48306
11.8413,0.5527,0.1344,0.5491
11.8835,0.56975,0.09712,0.58533
11.9217,0.46855,0.03427,0.56296
11.9621,0.42593,0.05132,0.59172
12.0037,0.50264,0.09605,0.62474
12.0444,0.45897,0.1131,0.56189
12.0836,0.44405,0.15677,0.55336
12.1244,0.49411,0.17062,0.53632
12.1663,0.42593,0.16423,0.50116
12.2061,0.42381,0.09818,0.5033
12.2457,0.42914,0.11736,0.46388
12.2877,0.37268,0.12054,0.38824
12.3262,0.36842,0.12054,0.37653
12.3673,0.36629,0.12694,0.35309
12.4085,0.3013,0.04385,0.36269
12.4499,0.29279,-0.00089,0.40317
12.4885,0.33539,0.01295,0.40956
12.5292,0.30557,-0.02432,0.37546
12.5715,0.28426,-0.019,0.34351
12.6098,0.33113,-0.0403,0.35097
12.6504,0.30983,-0.06906,0.34137
12.6921,0.18199,0.0087,0.29558
12.7328,0.2523,0.03,0.2455
12.7722,0.33113,0.0087,0.24338
12.8125,0.2523,0.08646,0.21887
12.8552,0.36948,0.12268,0.30516
12.8945,0.4856,0.02148,0.39038
12.9347,0.38333,-0.06906,0.31688
12.9749,0.31941,-0.01154,0.25935
13.0171,0.30237,0.08327,0.28598
13.0567,0.26935,0.04811,0.27747
13.0973,0.3322,-0.02007,0.33925
13.1357,0.39185,0.02255,0.35309
13.1812,0.34924,0.06622,0.29558
13.2188,0.37801,0.07581,0.24977
13.2583,0.39824,0.03427,0.23059
13.3013,0.38972,-0.02113,0.28598
13.3393,0.47069,0.00124,0.30728
13.3804,0.48453,0.06409,0.30409
13.421,0.38013,0.08327,0.3009
13.4652,0.3567,0.13654,0.34457
13.5014,0.4057,0.13226,0.42661
13.542,0.40996,0.10138,0.49371
13.584,0.40038,0.07901,0.5033
13.6239,0.38013,0.0918,0.51715
13.6636,0.34604,0.09605,0.52992
13.7056,0.37161,0.08434,0.58212
13.7455,0.3748,0.07262,0.58319
13.7846,0.40251,0.08646,0.62367
13.8246,0.46109,0.11096,0.67799
13.8676,0.47174,0.11629,0.69398
13.9063,0.46429,0.06836,0.66841
13.9475,0.43979,0.05664,0.63858
13.9885,0.46429,0.08113,0.61409
14.0277,0.49518,0.12054,0.56401
14.0678,0.52182,0.08752,0.59277
14.1087,0.54845,0.07262,0.5704
14.1523,0.48985,0.02681,0.47986
14.1902,0.46962,0.08434,0.45216
14.2303,0.40677,0.08113,0.39145
14.271,0.47069,0.05237,0.46921
14.3105,0.65497,0.07368,0.59705
14.3509,0.55164,-0.00728,0.42979
14.3921,0.38972,0.05132,0.31474
14.4325,0.48985,0.06303,0.4447
14.471,0.5623,0.04599,0.48412
14.513,0.44405,0.04065,0.37759
14.5535,0.36522,-0.02113,0.32433
14.5937,0.43446,0.04918,0.39996
14.6343,0.41423,0.06303,0.39996
14.6747,0.36629,0.05769,0.45323
14.7173,0.3812,0.06409,0.46495
14.7558,0.27042,0.07687,0.33818
14.796,0.17027,0.10138,0.319
14.8371,0.24484,0.13547,0.37653
14.877,0.25763,0.13121,0.32114
14.9187,0.28,0.12161,0.35522
14.9596,0.34711,0.09499,0.33818
15.0008,0.23526,0.07474,0.26147
15.0382,0.19797,0.01083,0.26682
15.0786,0.15111,0.00551,0.23378
15.1184,0.06908,0.02148,0.16028
15.16,0.22035,0.0609,0.25722
15.2005,0.25124,0.0854,0.22527
15.2415,0.1692,0.06197,0.1933
15.2836,0.2374,0.08327,0.21461
15.3232,0.29918,0.06729,0.2242
15.363,0.24059,0.02361,0.18692
15.4057,0.21608,0.03,0.18265
15.4455,0.1692,0.01723,0.13791
15.4851,0.1575,0.04279,0.16667
15.5246,0.22354,0.06622,0.22527
15.5674,0.17667,0.00444,0.21141
15.6062,0.14365,-0.00621,0.24443
15.646,0.20331,0.02255,0.29131
15.6881,0.15536,-0.03178,0.27107
15.728,0.12874,-0.0403,0.24763
15.7676,0.15536,-0.02007,0.26468
15.8083,0.15855,-0.00728,0.24763
15.8511,0.13086,-0.01048,0.21034
15.8887,0.12979,0.01935,0.23911
15.9296,0.14684,0.01935,0.27
15.97,0.10956,0.12482,0.24017
16.0122,0.03392,0.18021,0.17625
16.0523,0.00943,0.17702,0.16348
16.092,0.06801,0.22282,0.18478
16.134,0.05096,0.20364,0.16667
16.1722,0.01901,0.16103,0.13258
16.2128,0.01901,0.19406,0.14111
16.2533,0.03073,0.25478,0.13472
16.2962,0.02113,0.19832,0.08571
16.334,0.05736,0.13121,0.0495
16.3752,0.09038,0.19832,0.0495
16.4191,0.04138,0.22176,-0.00484
16.4573,0.08186,0.25264,-0.06769
16.4964,0.05949,0.24838,-0.08153
16.5379,0.02541,0.21855,-0.03572
16.581,0.06268,0.1866,0.01434
16.6186,0.07227,0.12589,0.05695
16.6584,0.03499,0.11629,0.06015
16.702,0.05417,0.12161,0.05269
16.739,0.0531,0.14825,0.05055
16.7797,0.03925,0.10457,-0.01549
16.8219,0.08826,0.07687,-0.09006
16.865,0.05522,0.14825,-0.10178
16.9015,0.02113,0.23027,-0.04639
16.9413,0.06056,0.19511,-0.02188
16.9865,0.03285,0.21323,-0.03999
17.0226,0.02753,0.19511,-0.04105
17.063,0.04671,0.22176,-0.01868
17.1043,0.00623,0.22708,-0.05171
17.1495,0.01262,0.1866,-0.05916
17.1849,-0.00124,0.20044,-0.07513
17.2255,-0.02679,0.20683,-0.1039
17.2687,-0.00975,0.16209,-0.09006
17.3059,-0.00229,0.17807,-0.10924
17.3463,-0.05981,0.18446,-0.13799
17.3885,-0.03426,0.15677,-0.15823
17.4322,-0.02147,0.19832,-0.20937
17.4683,-0.08965,0.21536,-0.2019
17.5084,0.00729,0.20683,-0.1284
17.5511,-0.00336,0.20044,-0.12415
17.5892,-0.07047,0.2356,-0.14865
17.6292,-0.03319,0.29633,-0.19978
17.6694,-0.06728,0.25157,-0.21469
17.7103,-0.05556,0.18021,-0.08899
17.7511,-0.03958,0.1557,-0.03679
18.213,-0.05449,0.10138,-0.03572
18.2131,-0.08113,0.17914,-0.0762
18.2132,-0.08858,0.25584,-0.16782
18.2134,-0.08006,0.27075,-0.20511
18.2134,-0.07153,0.26862,-0.20723
18.2135,-0.04597,0.32402,-0.2083
18.2135,-0.09604,0.30698,-0.15398
18.2137,-0.12267,0.27501,-0.11989
18.2137,-0.14078,0.3187,-0.12733
18.2138,-0.13226,0.32828,-0.11668
18.2138,-0.12161,0.26862,-0.15398
18.2371,-0.1248,0.21429,-0.14651
18.2784,-0.11308,0.23773,-0.10924
18.3178,-0.12799,0.27396,-0.11668
18.3603,-0.15463,0.26329,-0.13905
18.3989,-0.11095,0.16316,-0.08685
18.4394,-0.07793,0.14612,-0.08047
18.4813,-0.11308,0.17914,-0.05171
18.5211,-0.07474,0.2814,-0.07195
18.5611,-0.07793,0.28033,-0.09645
18.6005,-0.03319,0.26968,-0.08685
18.643,-0.07047,0.49232,-0.08899
18.6819,-0.13013,0.59673,-0.03679
18.7224,-0.07153,0.61909,-0.11989
18.7648,-0.05342,0.65211,-0.17847
18.8055,-0.06195,0.49553,-0.21362
18.8442,-0.06195,0.1653,-0.23813
18.886,-0.01614,0.06409,-0.24239
18.9251,-0.03745,0.12801,-0.19551
18.9655,-0.04491,0.08966,-0.10284
19.006,-0.06195,0.10989,-0.16142
19.0486,0.00623,0.08752,-0.19765
19.0873,-0.00017,0.08646,-0.20084
19.1278,-0.02361,0.09073,-0.28606
19.1684,0.05522,0.16103,-0.35637
19.2088,-0.01614,0.04704,-0.37341
19.2495,-0.03638,-0.00621,-0.45757
19.2897,0.00836,-0.02858,-0.52255
19.3319,-0.04491,-0.1138,-0.54813
19.3706,-0.05663,-0.13831,-0.61098
19.4116,-0.05769,-0.09676,-0.63654
19.4536,-0.04597,-0.08504,-0.68127
19.4922,0.00409,-0.0403,-0.71536
19.5324,0.06056,-0.02432,-0.79207
19.5734,-0.00229,-0.07866,-0.93588
19.6151,-0.00868,0.02148,-1.02536
19.6539,-0.00656,0.14079,-1.05731
19.6945,0.10103,0.07262,-1.04347
19.7365,0.0744,0.03427,-1.05412
19.7763,0.04778,0.04172,-1.0946
19.8173,0.05736,-0.01581,-1.12869
19.8565,0.0744,0.00656,-1.09567
19.8988,0.07227,0.01616,-1.10205
19.9374,0.02859,-0.02432,-1.08607
19.9772,0.04778,0.01723,-1.03601
20.0204,0.05417,0.01616,-1.03175
20.0588,0.05522,0.0119,-1.04666
20.0995,0.0531,0.00977,-1.04347
20.1386,0.05843,0.02467,-1.04987
20.1806,0.02753,0.01828,-1.03387
20.2198,0.0531,0.02042,-1.00618
20.261,0.0808,-0.019,-0.99446
20.3027,0.0808,-0.08185,-0.97102
20.343,0.16602,0.04065,-1.01364
20.3825,0.1543,0.12054,-1.03069
20.4237,0.04138,-0.01367,-1.03494
20.4651,0.04138,-0.07971,-1.06903
20.504,0.1266,0.07155,-1.02962
20.5445,0.07866,0.25157,-1.03282
20.586,0.05522,0.20897,-1.01151
20.6335,0.09465,0.0854,-1.06264
20.6659,0.29597,0.07687,-1.10419
20.7065,0.26828,0.13866,-1.11909
20.7492,0.17134,0.14293,-1.24268
20.7876,0.2065,0.32295,-1.30125
20.828,0.20543,0.39113,-1.13188
20.8688,0.31302,0.45824,-0.98167
20.9094,0.46109,0.33467,-0.87515
20.9487,0.6049,0.15251,-0.938
20.9893,0.58467,0.05025,-0.90392
21.0327,0.37587,0.16849,-0.85065
21.0706,0.22887,0.30591,-0.88048
21.1108,0.26935,0.24199,-1.03282
21.1523,0.37054,0.05132,-1.09993
21.1916,0.20757,-0.11061,-0.99234
21.232,-0.02573,-0.08717,-0.97423
21.2729,-0.09604,-0.01048,-0.9657
21.3155,-0.16635,-0.0712,-0.98062
21.3538,-0.22067,-0.12766,-1.29807
21.3945,-0.08006,0.07048,-1.76572
21.4374,0.23526,0.79274,-1.57397
21.4791,0.57614,0.93974,-0.83255
21.5157,0.52501,0.4966,-0.6131
21.556,0.46642,0.88435,-0.79739
21.5995,0.61981,0.68088,-0.69939
21.6375,0.5527,0.45717,-0.61417
21.6787,0.19478,0.05664,-0.76863
21.7189,0.02647,-0.69971,-0.98062
21.759,0.14258,0.01083,-0.81337
21.8,0.05736,0.40071,-0.85172
21.8401,0.23312,0.7757,-1.09033
21.8836,0.63048,0.98555,-0.96037
21.9207,0.80943,-0.28745,-0.80911
21.9625,0.47495,-0.67946,-0.90392
22.0027,0.11382,-0.51009,-0.76224
22.0445,0.19904,-1.03101,-0.70364
22.0831,0.03818,-0.75723,-0.51083
22.123,-0.05237,-0.98306,-0.61949
22.1667,0.1021,-1.0278,-0.72815
22.2043,0.26614,-0.75616,-0.57901
22.2448,0.32474,-1.06509,-0.82935
22.2874,0.26082,-1.06082,-0.79419
22.3278,0.03818,-0.52499,-0.73454
22.3669,0.0808,-0.67946,-0.6962
22.4074,0.32367,-1.17162,-0.63972
22.4487,0.24698,-0.84032,-0.63547
22.4882,0.03073,-0.50369,-0.53427
22.5276,-0.00017,-0.57187,-0.38194
22.5684,0.16069,-0.69225,-0.29033
22.6129,0.28639,-0.39824,-0.18912
22.6493,0.31622,-0.23418,-0.03146
22.6913,0.34818,-0.45042,0.07399
22.7317,0.20969,-0.24696,0.05269
22.7702,-0.08539,-0.03818,0.03032
22.8113,-0.09818,-0.01581,0.03351
22.8515,-0.06195,0.0396,0.06866
22.897,-0.02893,0.09392,0.19757
22.9329,0.02859,0.04599,0.20609
22.9736,0.00304,0.00551,0.02286
23.0163,-0.02893,0.03853,0.07506
23.0544,-0.08646,0.15038,0.25829
23.0952,-0.21535,0.08859,0.2029
23.1355,-0.06195,0.08113,0.08784
23.1805,0.0744,0.07155,0.04097
23.2172,-0.0939,-0.07759,0.01753
23.2563,-0.15036,-0.09889,0.00476
23.2998,-0.00229,-0.11168,-0.03572
23.3371,-0.06195,-0.08717,-0.00484
23.3783,-0.10669,-0.12019,0.02393
23.4185,0.00304,-0.21501,-0.00377
23.465,0.02859,-0.04883,0.01221
23.4993,-0.03532,0.00444,-0.00909
23.54,-0.01401,-0.07439,-0.04744
23.585,-0.06088,-0.00302,-0.04958
23.6215,-0.04704,-0.06267,-0.00591
23.6616,0.02327,-0.04562,-0.01123
23.7019,0.00516,0.01295,0.01009
23.7484,-0.04704,-0.02007,-0.00058
23.7827,-0.07793,-0.02007,-0.01442
23.8234,-0.01614,-0.04243,-0.03679
23.8684,-0.01721,-0.03604,-0.02827
23.9043,-0.03958,-0.00941,-0.00484
23.9446,-0.04065,-0.03178,-0.01974
23.9867,-0.03105,-0.00302,-0.01123
24.0336,-0.02147,0.0087,-0.01442
24.0672,-0.00975,-0.02007,-0.02081
24.1065,0.04352,0.01828,0.02925
