time,X_value,Y_value,Z_value
3.2598,5.49458,0.85445,8.11887
3.2787,5.58675,0.77545,8.25833
3.301,5.68491,0.77484,8.27988
3.3192,5.58615,0.78801,8.19429
3.3401,5.57417,0.7569,8.18352
3.3598,5.68431,0.82274,8.11108
3.3802,5.80283,0.94724,7.87106
3.4002,6.00992,1.13158,7.71126
3.4207,6.13203,1.18066,7.55682
3.4413,6.01651,1.05916,7.43771
3.4626,5.97701,1.05257,7.54066
3.4813,6.00993,1.05437,7.64841
3.5021,6.03685,1.06395,7.75734
3.5217,6.05423,1.09148,7.6526
3.5421,6.03806,1.1651,7.45985
3.5622,5.93332,1.21419,7.25636
3.5826,5.85609,1.18365,7.21446
3.602,5.97162,1.21597,7.43353
3.6237,6.03986,1.36502,7.64122
3.6431,6.09134,1.39375,7.59155
3.664,6.04704,1.43744,7.28807
3.6834,6.03207,1.49609,7.245
3.7048,6.16315,1.4991,7.47124
3.7262,6.33554,1.50748,7.58556
3.7449,6.42952,1.51047,7.55922
3.7653,6.46243,1.51645,7.58017
3.7847,6.3936,1.38835,7.75435
3.8056,6.24216,1.22914,7.82378
3.8259,6.31699,1.26746,7.76752
3.8453,6.46782,1.43625,7.5275
3.8681,6.67133,1.46857,7.4491
3.8859,6.75812,1.42308,7.42036
3.9064,6.81558,1.38177,7.51732
3.9277,6.70184,1.18964,7.60411
3.9468,6.44627,1.13397,7.77051
3.9669,6.40318,1.1232,7.76932
3.9875,6.48398,1.19563,7.59753
4.0086,6.60249,1.32611,7.55443
4.0275,6.66713,1.31055,7.58975
4.0494,6.67491,1.35605,7.42276
4.0685,6.70364,1.35484,7.28987
4.0889,6.71562,1.14235,7.30724
4.1082,6.53844,0.96579,7.31082
4.1286,6.39958,0.9592,7.30185
4.1522,6.38402,0.94484,7.41975
4.1695,6.34631,0.9185,7.4455
4.1926,6.29903,0.98734,7.30664
4.2096,6.37265,1.05737,7.09355
4.2311,6.46423,1.09029,7.06842
4.2503,6.42233,1.0424,7.26894
4.2716,6.31219,0.84787,7.50476
4.2905,6.25713,0.76048,7.56161
4.3136,6.33255,0.85805,7.41019
4.3336,6.39958,0.91371,7.34793
4.3526,6.40018,0.87421,7.3605
4.3716,6.24336,0.84488,7.35094
4.3923,6.19368,0.72517,7.27132
4.4122,6.11168,0.70302,7.19052
4.4341,6.10869,0.7114,7.20129
4.4532,6.1021,0.66949,7.15161
4.4729,6.1452,0.7126,7.17854
4.4931,6.28586,0.77185,7.38145
4.5144,6.23917,0.67848,7.55504
4.5336,6.23439,0.65215,7.57239
4.5543,6.26012,0.64735,7.35931
4.5743,6.33015,0.71918,7.19769
4.5964,6.32417,0.70361,7.19949
4.6188,6.34392,0.76945,7.24977
4.6354,6.43011,0.81615,7.24498
4.6551,6.55341,0.88019,7.10971
4.6761,6.61806,0.96159,6.9505
4.6957,6.72281,0.98793,6.9912
4.7191,6.69826,0.9167,7.10852
4.7385,6.62164,0.82094,7.23541
4.758,6.49475,0.76288,7.29466
4.777,6.54922,0.69943,7.22165
4.7975,6.6833,0.74791,7.07739
4.8168,6.8036,0.84668,6.93074
4.8386,6.92691,0.84189,6.87628
4.8582,6.8485,0.82153,6.84874
4.8784,6.82095,0.715,6.96725
4.9016,6.78085,0.64735,7.06662
4.9188,6.82935,0.68507,7.02831
4.9387,6.98796,0.8754,6.88705
4.9591,7.00053,0.94783,6.80984
4.9792,6.8916,0.88379,6.94212
5.0008,6.8042,0.88138,6.96307
5.0195,6.72758,0.88318,6.86909
5.0402,6.68808,0.91611,6.86072
5.06,6.75691,1.00829,6.84515
5.0803,6.8479,1.15971,6.80864
5.1003,6.97838,1.22795,6.7428
5.1213,6.8898,1.24831,6.82899
5.1424,6.82935,1.13217,6.94391
5.1618,6.79103,1.25189,6.93375
5.1873,6.89339,1.33629,7.01096
5.2019,6.85028,1.39374,7.1187
5.2217,6.81857,1.35066,7.17735
5.2426,6.73418,1.34946,7.30963
5.2625,6.71802,1.35425,7.25995
5.2844,6.7258,1.41949,7.20549
5.3028,6.82635,1.44821,7.23959
5.3268,6.888,1.42726,7.26234
5.343,6.91074,1.29678,7.29765
5.364,6.7641,1.21896,7.44191
5.3834,6.63123,1.06395,7.53947
5.4043,6.62584,0.98793,7.50894
5.4239,6.76111,1.09567,7.35213
5.4459,6.97719,1.17468,7.17197
5.4691,7.00591,1.20999,7.0708
5.4859,6.85808,1.09447,7.0349
5.505,6.65157,0.95322,7.09296
5.5257,6.53725,0.91312,7.25577
5.5455,6.57196,1.02145,7.26414
5.566,6.48398,1.11841,7.05286
5.586,6.5576,1.17407,6.80266
5.6084,6.66354,1.27823,6.73563
5.6264,6.71382,1.37518,6.95528
5.6473,6.56657,1.26147,7.13425
5.6669,6.37025,1.09688,7.19051
5.6879,6.36427,1.08369,7.11151
5.7073,6.4337,1.19981,7.01035
5.7305,6.44089,1.10823,7.10851
5.7536,6.48338,1.02264,7.26414
5.7686,6.49475,1.07532,7.23601
5.7886,6.46423,1.09866,7.14622
5.8093,6.38162,1.01906,7.17017
5.8285,6.38103,0.93466,7.2791
5.852,6.478,0.98254,7.1953
5.8715,6.48219,1.03043,7.12347
5.8958,6.40257,0.94363,7.16118
5.9097,6.41095,0.94543,7.25696
5.9304,6.50194,1.01308,7.33597
5.9505,6.50372,0.93286,7.27431
5.9715,6.44089,0.90833,7.21506
5.991,6.34451,0.97716,7.10254
6.0116,6.42891,1.11781,6.96307
6.0369,6.52168,1.20041,6.9122
6.0515,6.49774,1.20821,7.09894
6.0721,6.37085,1.14116,7.1965
6.0921,6.1835,1.06813,7.21985
6.1127,6.17453,0.96878,7.30843
6.1331,6.33554,1.03522,7.5694
6.1527,6.53725,1.09029,7.71724
6.1739,6.44986,1.04001,7.78308
6.1934,6.17513,0.84727,7.79924
6.215,6.02669,0.72935,7.737
6.2338,6.15118,0.879,7.62326
6.2545,6.42232,1.13577,7.4066
6.2744,6.55939,1.27643,7.05106
6.2968,6.56358,1.36201,6.88945
6.3216,6.42471,1.26266,7.12646
6.3355,6.11467,1.01726,7.43652
6.3551,6.11049,0.93407,7.67654
6.3765,6.39539,1.02444,7.70767
6.3959,6.48457,1.04898,7.53587
6.4176,6.34212,1.01965,7.42874
6.436,6.19427,0.93167,7.42575
6.4597,6.21762,0.90892,7.47304
6.4757,6.29364,1.00829,7.59993
6.4973,6.33853,0.92688,7.56641
6.5168,6.308,0.92389,7.35393
6.538,6.28107,0.92688,7.29765
6.5575,6.32057,0.89874,7.54845
6.5829,6.30801,0.85625,7.66876
6.6045,6.4756,0.90353,7.60292
6.6201,6.66473,1.11064,7.54128
6.6386,6.67731,1.15672,7.4826
6.6594,6.51151,1.14655,7.30365
6.6792,6.46423,1.14894,7.17915
6.7063,6.44867,1.15492,7.16656
6.7211,6.29305,1.08849,7.22882
6.7398,6.12724,0.9592,7.29048
6.7599,6.11288,0.96159,7.26773
6.7811,6.21283,0.98254,7.18094
6.8004,6.30441,1.09268,7.1582
6.8234,6.42233,1.1226,7.28987
6.8407,6.36966,1.14954,7.4485
6.8615,6.41396,1.15433,7.60591
6.8814,6.45883,1.27823,7.55203
6.9025,6.50134,1.36142,7.43173
6.9219,6.68091,1.23694,7.45029
6.9429,6.70184,1.16869,7.7765
6.962,6.49596,1.08191,8.01292
6.9862,6.21883,0.87181,7.85789
7.0056,6.06081,0.90114,7.46046
7.0238,6.24576,1.04958,7.30244
7.043,6.53186,1.22615,7.1564
7.0644,6.60966,1.29558,6.97684
7.0835,6.56717,1.04779,6.95888
7.1065,6.41695,0.8389,7.20428
7.1241,6.42651,0.73415,7.40779
7.1455,6.59351,0.80656,7.46704
7.1647,6.79642,0.90833,7.50356
7.1854,6.63063,0.87361,7.47662
7.205,6.49594,0.66591,7.50117
7.2273,6.46722,0.64137,7.6891
7.2455,6.70184,0.79401,7.78906
7.2681,6.87602,0.83888,7.72922
7.2893,6.77428,0.89575,7.49936
7.3068,6.75333,0.99452,7.37666
7.3265,6.79462,1.10225,7.28928
7.3479,6.73477,1.11064,7.1989
7.3669,6.63602,1.05856,7.06303
7.3896,6.55042,1.0029,6.9511
7.4076,6.52229,0.94183,6.91458
7.4301,6.53307,0.8772,7.06482
7.4482,6.40497,0.73834,7.18094
7.4693,6.08714,0.53902,7.2785
7.489,5.90817,0.38699,7.28389
7.51,5.9399,0.42529,7.26234
7.5293,6.12067,0.50789,7.22942
7.5512,6.40437,0.64256,7.23421
7.5747,6.5618,0.67429,7.18573
7.5902,6.46123,0.60306,7.14981
7.6104,6.40198,0.52705,7.24559
7.6315,6.60069,0.61024,7.33237
7.6505,6.84491,0.83051,7.29108
7.6731,6.81079,0.85326,7.16359
7.691,6.55222,0.80238,7.14801
7.7134,6.4313,0.79999,7.25516
7.7313,6.47501,0.93884,7.13066
7.752,6.69766,1.00468,6.86729
7.7724,6.85687,1.07353,6.80505
7.7937,6.83533,1.08968,6.93434
7.8124,6.66414,1.02444,7.05405
7.8355,6.58992,0.97716,7.0313
7.8578,6.73297,1.10345,6.81822
7.8734,6.81857,1.19504,6.69492
7.8975,6.78624,1.18365,6.77393
7.9149,6.72879,1.08429,7.01993
7.9333,6.60667,0.97417,7.22823
7.9557,6.48338,0.87242,7.26833
7.9748,6.42233,0.90175,7.17676
7.9998,6.5175,1.10524,7.0732
8.0151,6.68269,1.30217,6.96725
8.0356,6.66414,1.41888,6.88466
8.0554,6.69287,1.43265,6.73502
8.0762,6.73537,1.4536,6.76674
8.0958,6.66055,1.40811,6.89304
8.1164,6.53127,1.30756,7.15401
8.1422,6.57735,1.26805,7.37187
8.1564,6.67612,1.35544,7.2803
8.1772,6.75034,1.45779,6.83258
8.1974,6.78984,1.45241,6.65901
8.2174,6.67612,1.39973,6.85652
8.2396,6.55461,1.3297,7.19949
8.259,6.52887,1.32491,7.3629
8.2785,6.67552,1.37997,7.39044
8.2986,6.87483,1.53441,7.26413
8.3189,6.82216,1.59966,7.01155
8.3391,6.74255,1.61821,6.99419
8.3602,6.80899,1.59427,7.35272
8.3794,6.88321,1.50449,7.53288
8.4002,6.91673,1.51944,7.43173
8.4198,6.83293,1.44043,7.28928
8.4415,6.46602,1.27583,7.49278
8.4604,6.14281,1.01009,7.76811
8.4811,6.11049,0.93466,7.81779
8.5012,6.35649,1.10106,7.50237
8.5235,6.6384,1.28482,7.23003
8.5455,6.67851,1.31654,7.01753
8.5617,6.64679,1.29439,6.97025
8.582,6.69707,1.32132,7.10133
8.6025,6.88741,1.27464,7.1169
8.6216,6.89998,1.18126,7.06482
8.6436,6.7216,0.99092,7.16478
8.6629,6.40077,0.78682,7.32999
8.6843,6.20326,0.63,7.3186
8.7034,6.36606,0.7946,7.18932
8.7239,6.74255,1.11003,7.07201
8.7442,6.96402,1.31415,7.03909
8.7647,6.89159,1.283,7.01395
8.7861,6.70065,1.2076,7.12468
8.8046,6.39241,1.09807,7.37308
8.8284,6.17154,0.90952,7.66817
8.8453,6.25114,0.92628,7.77231
8.8651,6.30261,0.9592,7.58556
8.8857,6.09192,0.88676,7.37187
8.9057,5.91954,0.78143,7.36888
8.9266,5.8992,0.70721,7.57419
8.9471,6.0237,0.63838,7.70288
8.9675,5.93451,0.63779,7.67534
8.9867,5.83994,0.58212,7.54486
9.0073,5.85251,0.63599,7.3168
9.0272,6.06619,0.83411,7.20607
9.0477,6.31279,0.88498,7.16179
9.0692,6.30681,0.80177,7.29886
9.0884,6.07277,0.56177,7.63464
9.1126,5.91057,0.33551,7.90758
9.1285,6.05302,0.39478,7.93512
9.1487,6.40736,0.54739,7.83936
9.1693,6.60727,0.72217,7.649
9.1889,6.5193,0.63957,7.52031
9.2103,6.4379,0.59767,7.65918
9.2292,6.41455,0.61862,7.71365
9.2497,6.34811,0.60545,7.45686
9.2687,6.4355,0.7509,7.14143
9.2903,6.62105,0.96938,6.92955
9.3105,6.65636,1.05617,6.90501
9.3309,6.42651,0.94005,7.08757
9.3519,6.15358,0.78502,7.21446
9.3728,6.10928,0.7946,7.11569
9.396,6.39958,1.02084,7.09535
9.4112,6.52707,1.09029,7.1169
9.4321,6.27748,0.89995,7.27969
9.4527,6.02609,0.63957,7.60352
9.4723,6.01651,0.58511,7.84952
9.4953,6.25653,0.72997,7.72382
9.5134,6.42772,0.96878,7.49039
9.5385,6.43788,1.03342,7.34076
9.5534,6.33195,0.95441,7.34674
9.5748,6.32954,0.92987,7.50894
9.594,6.51929,1.06635,7.55383
9.6155,6.62283,1.18724,7.43292
9.6352,6.50014,1.15193,7.27193
9.657,6.32596,1.0843,7.26654
9.6816,6.27568,1.06813,7.36169
9.6958,6.37325,1.15791,7.40001
9.7155,6.46782,1.18425,7.3587
9.7369,6.39899,1.11841,7.30244
9.7559,6.45644,1.11961,7.36469
9.7779,6.52588,1.19504,7.39941
9.8011,6.52527,1.11363,7.36829
9.817,6.48996,1.02863,7.32759
9.8368,6.61267,1.0813,7.49159
